"arXiv ID","论文标题","研究问题","核心思想","方法/技术路线","数据集/仿真场景","评价指标","结果摘要","创新类型","局限性","ISAC子类别","置信度","发表日期","主分类"
"2607.09610","Symbol-Level Precoding for Continuous-Aperture ISAC Systems","Continuous-aperture arrays (CAPAs) offer rich electromagnetic degrees of freedom for integrated sensing and communication (ISAC), but optimizing continuous current distributions leads to...","Continuous-aperture arrays (CAPAs) offer rich electromagnetic degrees of freedom for integrated sensing and communication (ISAC), but optimizing continuous current distributions leads to challenging infinite-dimensional problems. This paper...","The transmit current is optimized to maximize weighted target-illumination power while enforcing constructive-interference constraints for communication users. To address the resulting infinite-dimensional nonconvex problem, we establish that the...","Continuous-aperture arrays (CAPAs) offer rich electromagnetic degrees of freedom for integrated sensing and communication (ISAC), but optimizing...","A penalty projected-gradient algorithm is then developed to jointly optimize the current coefficients and polarization combiners. Simulation results demonstrate that the proposed framework...","A penalty projected-gradient algorithm is then developed to jointly optimize the current coefficients and polarization combiners. Simulation results demonstrate that the proposed framework...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Waveform_Design","MEDIUM","2026-07-10","eess.SP"
"2607.09498","Fused Constrained Policy Reuse Optimization for Wireless Resource Allocation","Deep reinforcement learning (DRL) has been widely adopted for wireless resource allocation due to its model-free adaptability. However, online exploration is costly, as randomly initialized...","Future wireless systems must cope with increasingly dynamic traffic, fluctuating channel conditions, and stringent energy efficiency requirements, demanding algorithms that can learn quickly with minimal environment interactions to reduce both...","We develop Fused-CPRO, a knowledge-fused constrained policy reuse optimization method addressing these challenges. Fused-CPRO constructs the allocation policy as a mixture of a learnable target policy, source policies from related scenarios, and...","Deep reinforcement learning (DRL) has been widely adopted for wireless resource allocation due to its model-free adaptability. However, online...","However, online exploration is costly, as randomly initialized policies may violate long-term constraints before sufficient data are collected. Future wireless systems must cope with increasingly...","We prove almost-sure convergence to a Karush-Kuhn-Tucker (KKT) point. Simulations on delay-constrained multi-user multiple-input multiple-output (MU-MIMO) power control and Cramer-Rao bound...","理论贡献","未来工作可能包括将此方法扩展到更实际的场景。","Resource_Allocation","MEDIUM","2026-07-10","eess.SP"
"2607.08510","Fundamental Sensing Limits of 6G Cooperative MIMO-ISAC Networks: Joint Position-Velocity CRLB and Decoupling Analysis","This paper presents a Cramér-Rao lower bound (CRLB)-based performance bound analysis of cooperative multiple-input multiple-output (MIMO) integrated sensing and communications (ISAC) networks.","This paper presents a Cramér-Rao lower bound (CRLB)-based performance bound analysis of cooperative multiple-input multiple-output (MIMO) integrated sensing and communications (ISAC) networks. We first show the CRLB transformation of the...","Particularly, the results of multi-monostatic sensing, multi-bistatic sensing, and their hybrid are discussed. Addressing the complexity and tractability, we simplify the FIM and CRLB by excluding the coupling terms between the position and...","This paper presents a Cramér-Rao lower bound (CRLB)-based performance bound analysis of cooperative multiple-input multiple-output (MIMO)...","We first show the CRLB transformation of the signal-level parameters to the state parameters (position and velocity) in cooperative ISAC networks. Unlike existing studies that primarily ignored...","The results demonstrate that the simplified CRLB can be applied in general cases. Based on the simulation results, the impact of resource and geometric parameters on position and velocity error...","理论贡献","未来工作可能包括将此方法扩展到更实际的场景。","Beamforming_and_Precoding","MEDIUM","2026-07-09","eess.SP"
"2607.08108","Low-Complexity Gridless Single-Snapshot DoA Estimation via Truncated Hankel Newton-MUSIC","Reconfigurable antenna arrays can provide enhanced spatial Degrees of Freedom (DoFs) for Integrated Sensing And Communication (ISAC) systems, enabling high-resolution Direction of Arrival (DoA)...","Conventional subspace methods then suffer from rank deficiency, while Hankel-based spatial smoothing incurs high computational cost when the array size is large. This paper proposes a low-complexity gridless Truncated Hankel NewtonMUSIC framework...","This paper proposes a low-complexity gridless Truncated Hankel NewtonMUSIC framework for single-snapshot DoA estimation. The proposed method constructs a truncated Hankel matrix with a fixed row dimension to recover an effective signal subspace...","highly dynamic","To reduce grid-induced quantization errors, coarse grid estimates are further refined by a secondorder Newton update in the continuous angular domain. Simulation results show that the proposed...","To reduce grid-induced quantization errors, coarse grid estimates are further refined by a secondorder Newton update in the continuous angular domain. Simulation results show that the proposed...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Localization_and_Tracking","MEDIUM","2026-07-09","eess.SP"
"2607.08068","Beyond Single-Band: Analysis and Resource Allocation for Multi-band ISAC Systems","Integrated sensing and communication (ISAC) has emerged as a pivotal technology for sixth-generation wireless networks to empower high-precision sensing.","Integrated sensing and communication (ISAC) has emerged as a pivotal technology for sixth-generation wireless networks to empower high-precision sensing. The demand for superior sensing resolution and the reality of spectrum fragmentation have...","Multi-band ISAC provides frequency diversity through independent observations across disparate bands, mitigating sensing performance fluctuations caused by frequency-selective radar cross-section compared to single-band counterparts. In this...","diversity through independent observations across disparate","Then, a joint power and time-frequency resource allocation scheme is developed and solved via a proposed ADMM-based algorithm to maximize detection performance. Numerical results validate the...","Then, a joint power and time-frequency resource allocation scheme is developed and solved via a proposed ADMM-based algorithm to maximize detection performance. Numerical results validate the...","理论贡献","未来工作可能包括将此方法扩展到更实际的场景。","Resource_Allocation","MEDIUM","2026-07-09","eess.SP"
"2607.07298","Design and Deployment Guidelines for UAV-Mounted RIS Under Position Uncertainty","UAV-mounted reconfigurable intelligent surfaces (RIS) are a promising enabler for 6G networks, offering dynamic control of wireless propagation for coverage enhancement, integrated sensing and...","UAV-mounted reconfigurable intelligent surfaces (RIS) are a promising enabler for 6G networks, offering dynamic control of wireless propagation for coverage enhancement, integrated sensing and communication (ISAC), and localization. By exploiting...","This work develops a GUM-based uncertainty propagation framework for UAV-mounted RIS channels, mapping UAV position uncertainty through the geometric Tx-RIS-Rx model into the complex cascaded channel. We derive a closed-form stochastic...","favorable line-of-sight links, improving channel quality in dynamic","Results based on analytical scaling laws and Monte Carlo simulations confirm the tightness of the PCT in accurately capturing the coherence transition. This validated threshold is then leveraged...","Results based on analytical scaling laws and Monte Carlo simulations confirm the tightness of the PCT in accurately capturing the coherence transition. This validated threshold is then leveraged...","理论贡献","未来工作可能包括将此方法扩展到更实际的场景。","RIS_Metasurface_ISAC","MEDIUM","2026-07-08","eess.SP"
"2607.06115","6G Sensing Security: Distributed Game-Theoretic RL for Urban Beamforming and Attacker Detection","In next-generation networks, communication systems will no longer be limited to data transmission and will be expected to acquire awareness of the surrounding environment.","In next-generation networks, communication systems will no longer be limited to data transmission and will be expected to acquire awareness of the surrounding environment. This leads to the concept of integrated sensing and communication (ISAC),...","Motivated by this capability, this work focuses on detecting an active attacker in an urban environment scenario, where the attacker intentionally manipulates beamforming directions to increase interference and mislead the transmitter into...","an urban environment","We apply game-theoretic approaches to model the interaction between legitimate users and the attacker, and integrate the resulting utility-based formulation into a reinforcement learning (RL)...","We apply game-theoretic approaches to model the interaction between legitimate users and the attacker, and integrate the resulting utility-based formulation into a reinforcement learning (RL)...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Beamforming_and_Precoding","MEDIUM","2026-07-07","cs.IT"
"2607.05931","Rydberg Atomic Quantum Radio: A Comprehensive Survey From Wireless Communication Perspective","Next-generation space-air-ground-sea integrated networks (SAGSIN) impose unprecedented demands on advanced radio frequency (RF) receivers for full-spectrum agility, ultra-high sensitivity, and...","Next-generation space-air-ground-sea integrated networks (SAGSIN) impose unprecedented demands on advanced radio frequency (RF) receivers for full-spectrum agility, ultra-high sensitivity, and anti-jamming resilience, pushing conventional...","To provide a clear research roadmap, this survey presents a comprehensive review of RAQ radios by bridging atomic physics and wireless communications. Specifically, we first introduce the underlying quantum mechanisms, representative...","Next-generation space-air-ground-sea integrated networks (SAGSIN) impose unprecedented demands on advanced radio frequency (RF) receivers for...","From the wireless communication perspective, some RAQ-enabled advanced technologies including cognitive, interference-resilient, low-frequency and multiple-input multiple-output (MIMO)...","From the wireless communication perspective, some RAQ-enabled advanced technologies including cognitive, interference-resilient, low-frequency and multiple-input multiple-output (MIMO)...","全新方法","未来工作可能包括将此方法扩展到更实际的场景。","Standardization_and_Architecture","MEDIUM","2026-07-07","eess.SP"
"2607.05119","Multiuser MIMO-AFDM Beamforming for ISAC in Doubly Dispersive Channels","Integrated sensing and communication (ISAC) in high-mobility channels requires waveform and beamforming designs that are robust to delay-Doppler dispersion.","Integrated sensing and communication (ISAC) in high-mobility channels requires waveform and beamforming designs that are robust to delay-Doppler dispersion. With this in mind, in this paper we study a monostatic multiuser multiple-input...","We develop a discrete affine Fourier transform (DAFT)-domain model that preserves Doppler-induced inter-bin coupling and derive a data-aided delay-Doppler detector. The expected matched-bin detector signal-to-noise ratio (SNR) is shown to be...","monostatic multiuser multiple-input multiple-output (MIMO) affine frequency division multiplexing (AFDM) downlink","We develop a discrete affine Fourier transform (DAFT)-domain model that preserves Doppler-induced inter-bin coupling and derive a data-aided delay-Doppler detector. The expected matched-bin...","The resulting sensing-constrained weighted sum-rate maximization problem is solved using a combined weighted minimum mean squared error (WMMSE) and majorization-minimization (MM) formulation....","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Waveform_Design","MEDIUM","2026-07-06","eess.SP"
"2607.04664","A Simultaneous Clustering and Tracking Algorithm for Capturing Cluster-Level Spatial Consistency in 6G Wireless Channels","Spatial consistency is a fundamental physical property of wireless channels that reflects the smooth evolution of the channel between spatial locations.","Spatial consistency is a fundamental physical property of wireless channels that reflects the smooth evolution of the channel between spatial locations. At the cluster level, it requires similar multipath components (MPCs) remain grouped into the...","However, existing clustering and tracking methods do not fully exploit spatial correlations of MPCs. In tracking-after-clustering, clustering and tracking are decoupled, while joint clustering-and-tracking mainly relies on cluster centers from...","Spatial consistency is a fundamental physical property of wireless channels that reflects the smooth evolution of the channel between spatial...","The algorithm is further applied in the sub-THz band. Performance is evaluated using mean square successive difference and gradient change rate. The results demonstrate that the proposed algorithm...","Performance is evaluated using mean square successive difference and gradient change rate. The results demonstrate that the proposed algorithm yields smoother cluster evolution. This improves the...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Localization_and_Tracking","MEDIUM","2026-07-06","eess.SP"
